window,start_second,end_second,instances_bert,aC_bert,aG_bert,lambda_bert,instances_ctr,aC_ctr,aG_ctr,lambda_ctr,bC,bG,closureC,closureG
1,921600.0,1526400.0,16215.0,4.221492445266728,0.839577551649707,2316.4285714285716,22673.0,6.0,0.25,3239.0,29212.785714285714,2754.5714285714284,0.0,0.0
2,1526400.0,2131200.0,25619.0,4.909188492915415,0.8641613646122019,3659.8571428571427,15991.0,6.0,0.2500218873116128,2284.4285714285716,31673.5,3733.864285714286,0.0,0.0
3,2131200.0,2736000.0,27068.0,5.790527560218709,0.8355493571745234,3866.8571428571427,17861.0,6.0,0.25040591232293824,2551.5714285714284,37700.57142857143,3869.8785714285714,0.0,0.0
4,2736000.0,3340800.0,27316.0,4.645215258456583,0.947420925464929,3902.285714285714,19558.0,6.0,0.25402648532569794,2794.0,34890.95714285714,4406.857142857142,0.0,-9.094947017729282e-13
5,3340800.0,3945600.0,49547.0,4.917623670454316,0.7458594869517832,7078.142857142857,23796.0,6.0,0.29230753067742477,3399.4285714285716,55204.21428571428,6272.978571428572,0.0,0.0
6,3945600.0,4550400.0,35725.0,5.726955913226033,0.8260629811056682,5103.571428571428,29718.0,6.0,0.25,4245.428571428572,54700.5,5277.228571428572,0.0,9.094947017729282e-13
7,4550400.0,5155200.0,31223.0,6.39613426000064,0.7592832207026871,4460.428571428572,52744.0,5.992416198998939,0.25150728044896103,7534.857142857143,73681.5,5281.8,0.0,0.0
8,5155200.0,5760000.0,38884.0,4.8770805472687995,0.8556753420429998,5554.857142857143,57774.0,6.0,0.2540762280610655,8253.42857142857,76612.05714285714,6850.154285714285,0.0,-1.8189894035458565e-12
9,5760000.0,6364800.0,57304.0,3.494633882451487,0.829507538740751,8186.285714285715,61457.0,6.0,0.24868607318938443,8779.57142857143,81285.5,8973.942857142856,-1.4551915228366852e-11,-1.8189894035458565e-12
