weekday,start_second,n_weeks,detA,cond2A,k_M,k_TA,k_core,min_M_lower,min_TA_lower
Monday,921600.0,9,-3.708103634587713,16.337376894397448,1,0,0,2656.7406892468134,-4697.049023370426
Tuesday,1008000.0,8,-3.6110530572190256,17.599694908018282,1,0,0,2598.1733411237983,-4249.3456404843455
Wednesday,1094400.0,8,-3.639284067342548,17.111538841169136,1,0,0,2985.696578026482,-3666.2490220890377
Thursday,576000.0,9,-3.6533650527550927,16.90855152416723,1,0,0,619.0724292840214,-11451.27814292912
Friday,662400.0,9,-3.642826263436715,16.921642776621876,1,0,0,1216.1074719162348,-9796.389124793952
Saturday,748800.0,9,-3.668749635845887,16.65972260716782,1,0,0,2008.4373895458853,-7319.337611127537
Sunday,835200.0,9,-3.689420521112794,16.494431762679266,1,0,0,2472.8383633852036,-5836.034509185214
